,Measure,Montara,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
22,12,C7,C,22.0,541.1665649414062,212.0047149658203,764.308349609375,395.358642578125,1097.2076416015625,226.80609130859375,112.63227081298828,507.9674072265625,126.1728286743164,114.09636688232422,519.0369262695312,269.4371032714844
23,12,Gmaj7,G,23.0,251.59051513671875,147.38137817382812,363.202880859375,193.4027557373047,212.9940643310547,340.9478759765625,1280.8756103515625,738.5751953125,133.28704833984375,97.85172271728516,177.21180725097656,653.0428466796875
24,13,Fmaj7,F,24.0,628.0520629882812,147.6440887451172,114.61884307861328,257.81793212890625,1051.8101806640625,588.6245727539062,270.26641845703125,158.85609436035156,244.03216552734375,546.2747192382812,145.12368774414062,221.78623962402344
25,13,Emin11,E,25.0,300.7440185546875,208.98619079589844,381.9473876953125,387.5695495605469,630.6328125,384.2110595703125,1331.8936767578125,683.6497192382812,221.4924774169922,459.5422668457031,249.56036376953125,715.6950073242188
26,14,C13,C,26.0,239.36834716796875,196.56427001953125,387.554931640625,376.823486328125,716.5178833007812,1040.341796875,587.6189575195312,784.049072265625,299.3118591308594,580.4680786132812,659.2362670898438,332.2713623046875
27,14,Gmaj6,G,27.0,153.79649353027344,126.17312622070312,404.9645690917969,346.9013366699219,934.0248413085938,360.7260437011719,283.1644592285156,486.4612731933594,152.5175018310547,171.8043975830078,190.53485107421875,605.16845703125
28,15,Fmaj7,F,28.0,649.2243041992188,158.16110229492188,121.16364288330078,243.5559539794922,1051.150390625,586.8861694335938,161.19126892089844,279.4952392578125,269.6811218261719,555.0680541992188,151.27781677246094,225.3140106201172
29,15,Emin7,E,29.0,223.6860809326172,184.26385498046875,804.7583618164062,352.0499267578125,947.9609985351562,282.3395080566406,140.75633239746094,455.12109375,117.86933135986328,75.58882141113281,111.47199249267578,616.9622192382812
30,16,C7,C,30.0,602.6536254882812,151.42396545410156,173.42271423339844,280.6147766113281,1094.5228271484375,230.68809509277344,118.78311157226562,510.8492736816406,127.92938232421875,114.70865631103516,538.1128540039062,478.1040954589844
31,16,Gmaj7,G,31.0,252.5742645263672,147.44363403320312,368.2304992675781,194.83287048339844,212.1112518310547,345.4961853027344,1328.9339599609375,744.6837768554688,130.02723693847656,78.97111511230469,172.9166259765625,652.967041015625
32,17,Fmaj7,F,32.0,631.6205444335938,231.54339599609375,742.2118530273438,356.5072326660156,981.2645874023438,560.8438110351562,273.3613586425781,161.6932373046875,213.91908264160156,535.1973266601562,148.56118774414062,212.7958526611328
33,17,Emin11,E,33.0,301.2793884277344,207.0751190185547,379.3398742675781,387.4248046875,632.3335571289062,382.3767395019531,1316.93310546875,681.6268920898438,224.4296875,482.9029541015625,253.35658264160156,716.093017578125
34,18,C13,C,34.0,243.69847106933594,188.0453643798828,390.9634094238281,435.9811706542969,1044.5330810546875,1096.9947509765625,564.3556518554688,610.4810180664062,277.9748840332031,575.0694580078125,659.3009643554688,344.5680236816406
35,18,Gmaj6,G,35.0,153.5440216064453,126.10626983642578,404.8586120605469,346.5924987792969,933.1880493164062,360.5466613769531,282.9700012207031,487.4354248046875,152.62550354003906,171.57484436035156,190.15142822265625,604.0458984375
36,19,Fmaj7,F,36.0,645.9210205078125,159.06129455566406,114.44153594970703,243.5691680908203,1065.6256103515625,602.5697631835938,142.67161560058594,142.34609985351562,248.48065185546875,723.6161499023438,194.9468536376953,225.61578369140625
37,19,Emin7,E,37.0,224.9699249267578,184.5646209716797,804.150390625,352.2198181152344,948.203369140625,284.45745849609375,142.31919860839844,455.53076171875,119.21804809570312,78.32274627685547,111.07353973388672,617.33447265625
38,20,C7,C,38.0,540.2299194335938,140.27377319335938,179.5659942626953,276.702392578125,1098.2716064453125,228.963134765625,126.28374481201172,615.8220825195312,162.36865234375,118.49201202392578,512.4675903320312,277.9232482910156
39,20,Gmaj7,G,39.0,251.14671325683594,152.66531372070312,409.3127746582031,204.1421661376953,213.7736358642578,342.0191650390625,1294.3138427734375,736.9555053710938,131.03704833984375,89.82459259033203,175.76634216308594,653.1394653320312
40,21,Fmaj7,F,40.0,642.4256591796875,154.71954345703125,108.71676635742188,242.39349365234375,984.214599609375,573.9287109375,272.7983703613281,155.62940979003906,215.9521026611328,562.4939575195312,336.9533386230469,267.7566223144531
41,21,Emin11,E,41.0,2565.25634765625,1537.2427978515625,3231.7451171875,3049.065185546875,6910.74951171875,3506.734130859375,12777.09765625,6364.01171875,1625.8585205078125,3685.763916015625,2097.800537109375,7273.50390625
