,Measure,SoTired,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
21,17,Emaj7,E,33.0,153.23341369628906,115.88534545898438,138.36790466308594,558.4307861328125,996.9783325195312,211.19786071777344,110.46944427490234,173.45692443847656,457.8644104003906,100.38793182373047,133.17344665527344,523.318603515625
22,18,Dbmin7,Db,34.0,233.0393524169922,504.684814453125,159.34690856933594,445.2674865722656,971.6139526367188,291.1317443847656,108.84979248046875,121.98918914794922,375.313720703125,86.1803970336914,120.07168579101562,521.1412963867188
23,18,Gb7,Gb,35.0,581.0547485351562,445.948974609375,94.23748779296875,112.57111358642578,254.9345703125,96.41068267822266,48.046566009521484,49.99925231933594,52.09822463989258,34.327579498291016,68.37100219726562,123.73551177978516
24,19,Gbmin7,Gb,36.0,184.31126403808594,701.6332397460938,200.522216796875,313.5824890136719,743.8236694335938,415.0723571777344,550.2236328125,325.8128356933594,1670.1129150390625,704.3740234375,143.60694885253906,75.52530670166016
25,19,B7,B,37.0,60.233341217041016,121.30056762695312,50.2845573425293,110.5749282836914,195.05845642089844,239.4053497314453,187.85894775390625,50.759765625,39.67422103881836,76.25363159179688,37.91436767578125,44.415924072265625
26,20,Bmin7,B,38.0,149.33021545410156,356.165283203125,671.9302368164062,564.885009765625,234.45921325683594,298.4047546386719,1258.1058349609375,246.80194091796875,171.9497833251953,399.8514099121094,207.3578643798828,556.7711181640625
27,20,E7,E,39.0,191.0191192626953,149.49642944335938,784.6555786132812,401.7142639160156,957.1943969726562,257.7912902832031,222.4372100830078,111.26329803466797,450.957275390625,319.9762268066406,1555.3250732421875,1097.4947509765625
28,21,Gmin7,G,40.0,230.52044677734375,148.08604431152344,338.61151123046875,124.58931732177734,387.7525634765625,907.9757690429688,364.8734130859375,561.8323364257812,186.65528869628906,237.7294921875,569.4970092773438,231.66888427734375
29,21,C7,C,41.0,517.68408203125,162.88050842285156,191.0590057373047,331.6044006347656,1141.494873046875,443.6326599121094,297.3813171386719,571.918701171875,163.87525939941406,207.60877990722656,961.276123046875,329.8778381347656
30,22,Fmin7,F,42.0,2144.241943359375,491.2823791503906,623.330810546875,2845.46484375,1972.1241455078125,1975.1209716796875,482.343994140625,1002.4465942382812,1805.9156494140625,568.698974609375,340.7134704589844,510.1235656738281
31,23,Gb9,Gb,44.0,866.6357421875,2066.983154296875,508.6706848144531,1011.7684936523438,3679.661865234375,1845.8118896484375,1918.51123046875,680.7876586914062,1501.83740234375,888.21533203125,2963.1845703125,938.9797973632812
32,24,Fmin7,F,46.0,2123.541259765625,530.9251708984375,664.1616821289062,2667.337646484375,1325.6397705078125,1700.607421875,394.712646484375,749.8934936523438,1659.4866943359375,485.2339782714844,224.9854736328125,498.9776611328125
33,25,C7,C,48.0,1779.5902099609375,389.2430419921875,308.06549072265625,887.2947387695312,3914.789306640625,886.15771484375,339.3486328125,1532.27685546875,773.4265747070312,852.476318359375,4687.20068359375,1201.74365234375
34,26,Fmin7,F,50.0,2151.595947265625,502.2908935546875,636.2120971679688,2660.338623046875,1319.555419921875,1654.8758544921875,385.2942199707031,752.5711059570312,1695.70703125,484.3765563964844,193.572998046875,483.5168151855469
35,27,Gb9,Gb,52.0,862.769287109375,2068.857666015625,487.8279724121094,1014.7888793945312,3720.353759765625,1820.9755859375,1903.53466796875,680.4804077148438,1497.8382568359375,858.0341186523438,2867.180908203125,913.2858276367188
36,28,Fmin7,F,54.0,2123.962646484375,531.1578979492188,653.1339721679688,2665.7763671875,1313.6595458984375,1622.4385986328125,387.1787109375,741.825439453125,1657.1773681640625,480.2320556640625,206.92076110839844,497.4477233886719
37,29,Gmin7,G,56.0,35.5073127746582,56.89296340942383,169.274169921875,71.07440948486328,127.5326919555664,434.060791015625,180.78416442871094,199.12115478515625,79.720947265625,176.3832550048828,663.0809326171875,128.59388732910156
38,29,C7,C,56.66666666666666,97.28656768798828,39.404354095458984,45.36971664428711,90.80587005615234,232.23724365234375,195.31227111816406,55.55104446411133,136.2333221435547,245.7974395751953,136.26345825195312,556.3436889648438,144.9966583251953
39,29,Fmin7,F,57.33333333333334,3768.359375,863.488525390625,1353.8927001953125,4895.296875,4828.689453125,3331.386962890625,818.7177124023438,1985.9908447265625,2870.721923828125,742.3220825195312,858.8646850585938,949.2459106445312
