,Measure,OneShiningSoul,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
80,41,Db7,Db,81.0,195.9966278076172,476.7994384765625,144.94613647460938,150.2745819091797,247.43336486816406,966.6123657226562,214.35218811035156,243.59564208984375,1496.5008544921875,412.3772277832031,598.5402221679688,163.7372283935547
81,42,Bbmin7,Bb,82.0,316.8533020019531,258.0481872558594,197.16188049316406,435.561767578125,218.2882080078125,446.4098815917969,561.7854614257812,484.928466796875,383.0389404296875,133.7689971923828,145.2957305908203,113.81871795654297
82,42,D#9,D#,82.66666666666667,107.03799438476562,76.10230255126953,64.02843475341797,152.51690673828125,56.5078010559082,120.39028930664062,110.62824249267578,44.80318832397461,63.23067092895508,22.305381774902344,13.683690071105957,15.969661712646484
83,42,G#7,G#,83.33333333333333,145.35415649414062,47.98891067504883,57.14289474487305,235.7039794921875,80.48017120361328,48.84006118774414,59.86173629760742,137.13409423828125,38.776493072509766,29.645309448242188,133.50433349609375,62.88418960571289
84,43,Cmin7,C,84.0,400.9198913574219,103.91580963134766,111.53335571289062,488.7063293457031,208.926025390625,273.7690124511719,88.57837677001953,192.00494384765625,382.8484191894531,109.0513687133789,65.21636199951172,91.35929107666016
85,43,Fmin7,F,85.0,650.1585083007812,1231.511474609375,317.9141540527344,278.5387878417969,247.29258728027344,924.6981811523438,194.18028259277344,127.94330596923828,441.6866760253906,262.3123779296875,578.7610473632812,233.81373596191406
86,44,Bbmin7,Bb,86.0,150.06253051757812,547.3111572265625,337.64898681640625,935.1077270507812,240.48805236816406,291.0503845214844,140.80335998535156,619.8441162109375,175.14183044433594,127.74161529541016,576.232666015625,146.7693634033203
87,44,D#7,D#,87.0,1255.2479248046875,381.9623718261719,325.9643249511719,848.1470336914062,264.03948974609375,87.07929229736328,126.53500366210938,592.083740234375,528.0563354492188,176.8374481201172,332.2181091308594,306.2423400878906
88,45,G#maj7,G#,88.0,805.41259765625,617.3277587890625,166.65394592285156,323.6480407714844,324.4517517089844,1278.3057861328125,257.74407958984375,167.3874969482422,405.91455078125,89.72122192382812,62.232357025146484,126.90088653564453
89,45,Dbmaj7,Db,89.0,314.7593078613281,219.3103485107422,383.9639587402344,258.56817626953125,283.63232421875,1024.58203125,442.8143310546875,482.0279846191406,149.29490661621094,175.54815673828125,476.09228515625,1235.6900634765625
90,46,G7,G,90.0,490.3377380371094,143.93702697753906,185.61973571777344,322.2470397949219,1207.62158203125,424.3381652832031,146.19894409179688,558.3878784179688,145.79310607910156,121.76227569580078,548.2484741210938,332.1025085449219
91,46,C7,C,91.0,631.7473754882812,163.60858154296875,190.74720764160156,880.6094360351562,599.7935180664062,453.3688659667969,124.7129898071289,324.0546569824219,664.4493408203125,174.48248291015625,98.25592041015625,187.0982208251953
92,47,Fmin7,F,92.0,319.2200622558594,541.0940551757812,168.7181854248047,348.837158203125,298.65484619140625,1074.701171875,213.4398193359375,107.08987426757812,451.0218505859375,248.4434356689453,556.8781127929688,158.13755798339844
