,Measure,SoftImpressions,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
34,17,E7,E,33.0,227.6451873779297,171.73878479003906,710.5319213867188,672.7415161132812,1175.6796875,331.5312805175781,102.65210723876953,102.35680389404297,506.3190002441406,308.71807861328125,165.14791870117188,585.3229370117188
35,18,Dmin7,D,34.0,604.5311889648438,242.88279724121094,529.76318359375,177.9068145751953,474.5794372558594,1173.3447265625,281.07843017578125,79.19750213623047,114.52448272705078,432.485595703125,96.09024810791016,147.12306213378906
36,18,E7,E,35.0,156.24081420898438,202.912109375,1116.1881103515625,339.09039306640625,767.1083374023438,357.1526794433594,103.43775177001953,52.64418029785156,294.87786865234375,175.54351806640625,107.26346588134766,498.5181579589844
37,19,Amin7,A,36.0,450.8460693359375,125.5147705078125,108.75788116455078,223.1189727783203,938.1633911132812,217.5908966064453,101.41222381591797,486.6031799316406,298.0029602050781,659.9827270507812,149.09288024902344,171.99188232421875
38,19,C/G,C,37.0,516.9153442382812,185.63673400878906,246.9213104248047,262.3512878417969,958.4960327148438,203.44471740722656,154.48672485351562,538.9195556640625,131.58486938476562,37.26178741455078,41.63296127319336,163.3885955810547
39,20,F7,F,38.0,577.9027709960938,145.22640991210938,240.8251495361328,1097.01953125,851.51513671875,436.7594909667969,129.16566467285156,159.33627319335938,199.1388702392578,529.6185913085938,152.39154052734375,156.39964294433594
40,20,E7,E,39.0,102.05167388916016,38.359317779541016,75.6279525756836,241.7322998046875,149.97850036621094,76.06614685058594,22.01568603515625,31.358060836791992,43.02189636230469,21.78215789794922,12.899588584899902,52.48463821411133
41,21,Amin7,A,40.0,1703.1822509765625,379.5281677246094,285.1591796875,732.028564453125,2982.34765625,590.0582885742188,327.2783203125,1623.1932373046875,961.190673828125,1964.1727294921875,459.2213134765625,719.09814453125
42,22,F7,F,42.0,583.1536254882812,149.22349548339844,233.09718322753906,1015.3098754882812,573.9425659179688,401.9752197265625,103.48714447021484,129.4680938720703,194.0948486328125,526.9141845703125,146.37403869628906,158.30526733398438
43,22,E7,E,43.0,215.55873107910156,151.13485717773438,670.1287841796875,590.1797485351562,958.09326171875,230.0192413330078,81.94497680664062,96.50405883789062,450.3502502441406,119.0743408203125,104.6874008178711,544.22705078125
44,23,Amin7,A,44.0,1743.9803466796875,381.8531494140625,267.23046875,766.25830078125,3176.541015625,609.6403198242188,318.2001037597656,1609.78857421875,801.6550903320312,1678.21875,377.0065612792969,620.8152465820312
45,24,Bmin7,B,46.0,132.6382293701172,206.25146484375,629.9567260742188,266.8522644042969,115.85253143310547,244.8088836669922,1163.2869873046875,224.6599578857422,100.25943756103516,431.2588806152344,194.6175537109375,522.9143676757812
46,24,E7,E,47.0,191.13682556152344,134.64236450195312,767.8895874023438,394.2275085449219,947.710693359375,197.4069366455078,176.33294677734375,103.74359893798828,446.3348693847656,125.20252227783203,166.28358459472656,920.84912109375
47,25,Amin7,A,48.0,1762.8077392578125,373.1160888671875,262.0690612792969,678.058349609375,3142.311767578125,581.8909301757812,357.4221496582031,1602.1268310546875,814.1184692382812,1701.1802978515625,405.2923889160156,815.45166015625
48,26,Amin7,A,50.0,497.0301208496094,133.81861877441406,87.295654296875,215.9392547607422,892.1157836914062,179.97308349609375,108.6060791015625,493.05078125,260.65338134765625,520.4473876953125,132.2790985107422,171.739013671875
49,26,A7,A,51.0,229.18397521972656,563.2056884765625,142.65382385253906,203.34214782714844,756.172607421875,238.95701599121094,133.97264099121094,621.4689331054688,327.3833923339844,498.9185791015625,115.21170806884766,98.3824462890625
50,27,Dmin7,D,52.0,644.0303955078125,326.6482238769531,595.4046630859375,154.7060089111328,437.735107421875,1092.2471923828125,267.8354797363281,103.1128921508789,95.62615966796875,417.6817321777344,92.01000213623047,123.944580078125
51,27,C/C,C,53.0,447.2329406738281,136.75961303710938,141.74612426757812,260.97943115234375,1132.7994384765625,398.1635437011719,116.09667205810547,446.90625,98.60538482666016,51.50807571411133,43.563140869140625,168.9271697998047
52,28,Bminor-seventh(b5),B,54.0,223.8113250732422,216.67529296875,622.4227294921875,239.1496124267578,211.4354248046875,317.2449035644531,1175.0455322265625,260.7479553222656,95.65853881835938,412.0768737792969,198.48048400878906,594.9901733398438
53,28,E7,E,55.0,24.936697006225586,21.32890510559082,59.86471176147461,17.09833335876465,23.920120239257812,44.31819152832031,139.58106994628906,23.304018020629883,6.082910537719727,25.189315795898438,20.961774826049805,91.27587890625
54,29,Amin7,A,56.0,518.7770385742188,165.7380828857422,232.36647033691406,275.2810363769531,969.1012573242188,205.03135681152344,135.04885864257812,536.4326782226562,340.1872253417969,551.1061401367188,166.03253173828125,370.239990234375
55,29,D7,D,57.0,51.23260498046875,13.691001892089844,8.901604652404785,39.990867614746094,152.78915405273438,42.48276901245117,22.04682159423828,48.92824172973633,23.115936279296875,18.619810104370117,4.643463611602783,18.647066116333008
56,30,C#min7,C#,58.0,437.2364501953125,586.91259765625,323.50396728515625,283.3595275878906,1024.9774169921875,343.7859802246094,370.4625549316406,140.6384735107422,441.5686950683594,194.020263671875,128.40476989746094,594.2373657226562
57,30,F#7,F#,59.0,38.385498046875,74.64498138427734,31.982675552368164,40.14824676513672,164.11180114746094,43.78287124633789,31.248390197753906,9.785561561584473,23.642915725708008,16.233610153198242,12.042241096496582,60.56593704223633
58,31,F7,F,60.0,2100.259033203125,1212.1641845703125,789.4284057617188,3568.865966796875,3241.612548828125,1891.5753173828125,712.077392578125,461.2677001953125,723.41845703125,1715.8868408203125,760.533447265625,562.9693603515625
59,32,E7,E,62.0,442.4322814941406,364.9516296386719,1972.48876953125,1117.6007080078125,3411.522705078125,645.4510498046875,268.940673828125,264.485595703125,1386.6494140625,322.31842041015625,342.7453918457031,1947.0067138671875
60,33,Amin7,A,64.0,484.6394348144531,133.9471893310547,95.02698516845703,227.35015869140625,887.6376342773438,180.32310485839844,99.87786865234375,487.0707092285156,260.78485107421875,527.061767578125,135.52255249023438,186.85400390625
61,33,C/G,C,65.0,494.8091125488281,168.74395751953125,192.566650390625,243.6106719970703,959.69091796875,179.21922302246094,148.6601104736328,539.1570434570312,133.94493103027344,32.16678237915039,39.27460861206055,148.49339294433594
62,34,F7,F,66.0,576.85986328125,147.56890869140625,258.7735290527344,1101.5545654296875,852.5222778320312,448.174560546875,129.4109344482422,159.0192108154297,196.49415588378906,529.1447143554688,154.2668914794922,158.38473510742188
63,34,E7,E,67.0,218.0299835205078,156.46009826660156,692.59814453125,603.9141845703125,972.3112182617188,233.03155517578125,85.9423599243164,95.48743438720703,449.3667297363281,118.81072998046875,104.10176849365234,535.930908203125
64,35,Amin,A,68.0,529.5437622070312,114.4904556274414,67.9441146850586,222.68345642089844,846.6138305664062,154.2276611328125,33.58787536621094,100.84881591796875,215.40577697753906,511.204345703125,122.4228286743164,167.84034729003906
65,35,C/G,C,69.0,518.6275024414062,186.97129821777344,220.37388610839844,236.63169860839844,957.8818969726562,180.9275360107422,129.06089782714844,443.1253356933594,122.14969635009766,33.76066207885742,42.85627365112305,160.45594787597656
66,36,F7,F,70.0,578.0078125,151.09727478027344,282.3987731933594,1121.2254638671875,855.706787109375,447.5843505859375,119.99022674560547,145.48184204101562,198.6338348388672,533.9451293945312,154.03195190429688,156.56448364257812
67,36,E7,E,71.0,219.63304138183594,220.8422088623047,1123.2989501953125,657.8562622070312,1004.0969848632812,247.5520782470703,96.55487823486328,101.13915252685547,464.6947021484375,214.78863525390625,130.538330078125,544.720703125
68,37,Amin7,A,72.0,530.5352172851562,129.01637268066406,97.29669952392578,238.88140869140625,872.068603515625,181.50978088378906,105.80428314208984,499.6060791015625,293.23553466796875,664.2171020507812,153.175537109375,200.65394592285156
69,37,C/G,C,73.0,518.8634643554688,184.18507385253906,227.4738311767578,239.63787841796875,959.4799194335938,187.15208435058594,151.44952392578125,538.5299072265625,133.1861114501953,32.491737365722656,43.77693176269531,165.5370330810547
70,38,F7,F,74.0,578.1530151367188,150.30642700195312,280.58636474609375,1122.9595947265625,855.4480590820312,445.1175537109375,119.77713775634766,157.89952087402344,200.47003173828125,532.8650512695312,153.98248291015625,156.52052307128906
71,38,E7,E,75.0,219.87208557128906,219.5601043701172,1114.0595703125,656.5105590820312,1003.6787719726562,247.6300506591797,96.3500747680664,98.80692291259766,463.9434814453125,215.3360595703125,130.66783142089844,543.6061401367188
72,39,Amin7,A,76.0,530.2155151367188,129.5088348388672,96.75887298583984,238.81492614746094,871.8270874023438,181.34230041503906,106.8099365234375,504.3857421875,294.4753112792969,665.180908203125,153.16558837890625,200.2971649169922
73,39,C/G,C,77.0,518.7789916992188,184.32774353027344,225.68223571777344,239.3203887939453,959.5055541992188,186.86590576171875,151.82962036132812,538.5203247070312,133.09066772460938,32.453617095947266,43.80792236328125,165.51219177246094
74,40,F7,F,78.0,578.2191772460938,150.6167755126953,280.9082946777344,1122.810546875,855.1642456054688,445.1478576660156,120.108642578125,157.68885803222656,200.6561737060547,532.9465942382812,154.08331298828125,156.53379821777344
75,40,E7,E,79.0,219.7171173095703,219.69459533691406,1115.912353515625,656.764404296875,1003.5974731445312,247.63050842285156,96.37860870361328,98.79085540771484,463.9332580566406,215.2958984375,130.6383819580078,543.4636840820312
76,41,Amin9,A,80.0,7598.9765625,1500.64697265625,1125.8148193359375,3557.362548828125,14993.49609375,2676.093994140625,1482.48046875,6280.50146484375,2869.222412109375,5652.52880859375,2023.5435791015625,8005.28955078125
