,Measure,Room335,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
64,31,C9,C,60.66666666666666,26.41253662109375,68.6989974975586,103.72463989257812,22.757051467895508,43.544551849365234,102.248046875,130.75595092773438,23.897912979125977,57.19636154174805,295.1566467285156,57.97738265991211,15.30821704864502
65,31,C#9,C#,61.33333333333334,7.474576950073242,18.270278930664062,18.455902099609375,5.504037380218506,23.516159057617188,26.15277099609375,35.0684700012207,10.200291633605957,78.0152359008789,545.85302734375,94.70684051513672,5.584198474884033
66,32,Dmaj7,D,62.0,524.925048828125,2154.170654296875,1505.6563720703125,800.6995239257812,3559.116455078125,1879.9537353515625,1910.5711669921875,382.4728088378906,484.5424499511719,660.8770751953125,2132.875732421875,471.8912048339844
67,33,F#7,F#,64.0,439.8290100097656,462.6989440917969,1138.292724609375,740.2744140625,747.74755859375,886.89794921875,4206.9873046875,770.7584838867188,395.5782165527344,1328.7550048828125,640.9395141601562,1935.6751708984375
68,34,Bmin7,B,66.0,578.8114624023438,258.3791809082031,125.19733428955078,223.9623260498047,948.6206665039062,497.518310546875,199.05377197265625,630.1544799804688,346.5926208496094,539.7124633789062,161.4045867919922,218.9998016357422
69,34,Bbmin7,Bb,67.0,309.3634338378906,171.42840576171875,416.4254455566406,112.48453521728516,198.4772186279297,213.47528076171875,743.9297485351562,182.45777893066406,50.37320327758789,180.8627471923828,44.59950256347656,59.37554931640625
70,35,Amin7,A,68.0,169.7503204345703,144.91192626953125,343.7038879394531,198.364990234375,100.16415405273438,284.698486328125,1277.193115234375,634.4359741210938,123.86954498291016,128.7751922607422,158.1577911376953,534.1103515625
71,35,D7,D,69.0,154.6818389892578,174.8529815673828,775.7235717773438,419.164794921875,512.2975463867188,1130.961669921875,481.1578369140625,173.77471923828125,522.3392944335938,197.69659423828125,147.9420928955078,566.300048828125
72,36,Gmaj7,G,70.0,96.93759155273438,329.671875,164.82286071777344,143.08157348632812,378.280029296875,346.6172180175781,280.2862854003906,81.65565490722656,154.98109436035156,222.21165466308594,91.04779815673828,206.7936248779297
73,36,G#dim7,G#,70.66666666666667,20.91798210144043,80.60148620605469,26.48796844482422,47.356998443603516,148.34701538085938,109.38784790039062,69.58043670654297,26.319725036621094,102.40302276611328,437.826904296875,72.80651092529297,11.198555946350098
74,36,C#7,C#,71.33333333333333,45.58447265625,37.24025344848633,69.50305938720703,296.3999938964844,98.69184112548828,82.45503234863281,284.8963317871094,77.69867706298828,119.14453125,392.647216796875,101.56269073486328,162.0962371826172
75,37,F#min7,F#,72.0,186.76568603515625,134.783935546875,647.19140625,653.7109375,1071.61376953125,261.6344909667969,282.9797058105469,625.875,1204.464599609375,253.3064422607422,171.9580535888672,949.0824584960938
76,37,B7,B,73.0,181.8215789794922,578.4066162109375,162.35707092285156,294.9857482910156,806.5474243164062,254.6476593017578,163.16641235351562,780.7265625,1640.69873046875,731.25341796875,148.26075744628906,172.98439025878906
77,38,Emin7,E,74.0,174.2195587158203,350.8724060058594,1388.7423095703125,354.4154968261719,243.5227508544922,404.6309814453125,1431.6141357421875,731.7802124023438,141.6967010498047,135.2778778076172,192.4569549560547,635.6212768554688
78,38,A7,A,75.0,543.6595458984375,227.16473388671875,355.1098937988281,1022.08544921875,417.3730773925781,261.0186462402344,741.4216918945312,265.2476806640625,180.38768005371094,517.5132446289062,177.23277282714844,196.7563934326172
79,39,Gmaj7,G,76.0,219.051025390625,202.3472900390625,900.5947265625,591.219970703125,963.8992309570312,206.15345764160156,160.0808868408203,462.819091796875,115.99667358398438,79.6967544555664,111.0840835571289,606.4950561523438
80,39,F#dim7,F#,77.0,132.9782257080078,694.1776733398438,665.1299438476562,164.5810089111328,251.89076232910156,334.90484619140625,1044.26123046875,245.6985626220703,106.95828247070312,412.21875,87.13968658447266,76.37690734863281
81,40,Emin7,E,78.0,111.94849395751953,663.3550415039062,700.74853515625,167.01222229003906,102.7383041381836,274.4442443847656,1275.2230224609375,251.29132080078125,96.55669403076172,368.8488464355469,77.08240509033203,51.64810562133789
82,40,Dmaj7,D,79.0,244.42291259765625,590.666015625,220.3197021484375,307.11767578125,974.064697265625,283.6950378417969,177.6969757080078,104.63416290283203,429.3048095703125,107.42037200927734,109.90975952148438,570.8593139648438
83,41,Dmaj7,D,80.0,121.80020904541016,242.3833465576172,598.963623046875,253.6214599609375,228.84242248535156,304.5370178222656,1166.3975830078125,221.2509307861328,110.50674438476562,416.2783508300781,173.21343994140625,439.02978515625
84,41,C#min7,C#,81.0,159.97097778320312,518.964111328125,208.6322021484375,251.12066650390625,779.61572265625,249.43614196777344,179.01226806640625,134.46337890625,594.9352416992188,579.5018920898438,129.65171813964844,109.69208526611328
85,42,Bmin7,B,82.0,23.655202865600586,116.80522918701172,76.17811584472656,190.4887237548828,88.40772247314453,27.969331741333008,21.505952835083008,72.8581771850586,29.13387107849121,23.89838218688965,80.6545639038086,21.64533042907715
86,42,Amaj7,A,82.66666666666667,0.10504855960607529,0.5691197514533997,1.0949522256851196,2.639646053314209,0.6331415176391602,0.29014530777931213,0.8960404992103577,0.7485365867614746,0.16863612830638885,0.15070706605911255,0.7240682244300842,0.23099257051944733
87,42,Eb7,Eb,83.33333333333333,0.005226357374340296,0.02007799595594406,0.0706697553396225,0.24232302606105804,0.07126850634813309,0.010021418333053589,0.04075155034661293,0.11191015690565109,0.017504079267382622,0.0070542339235544205,0.02205699123442173,0.010894790291786194
