,Measure,DigDis,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
45,45,Db7,Db,88.0,5.44342565536499,7.3752970695495605,40.4317741394043,60.63999557495117,29.28352928161621,111.01270294189453,54.99724197387695,10.549603462219238,10.623600959777832,10.423476219177246,9.63446044921875,28.584030151367188
46,46,C7,C,90.0,557.6627807617188,277.2720642089844,158.6035919189453,287.6797790527344,1185.5787353515625,595.7865600585938,155.2554168701172,480.6335144042969,194.1072998046875,153.93943786621094,499.7842102050781,283.36767578125
47,46,F7,F,91.0,53.41239547729492,23.9880313873291,8.67628288269043,41.99678039550781,187.2322998046875,89.09354400634766,20.507856369018555,48.31660461425781,13.65167236328125,7.162050247192383,33.16620635986328,19.927366256713867
48,47,F7,F,92.0,1942.31494140625,486.4991760253906,660.4481811523438,2924.381591796875,1781.5205078125,1926.4373779296875,364.9990539550781,384.4792175292969,572.9063110351562,1784.72802734375,422.906494140625,446.9677734375
49,48,Bb7,Bb,94.0,255.94688415527344,446.8014221191406,2028.6309814453125,578.6835327148438,888.2395629882812,4230.298828125,936.0458984375,297.6723937988281,1414.20703125,937.899169921875,1961.1329345703125,364.5231018066406
50,49,B7,B,96.0,3.5045480728149414,11.23812198638916,41.21665954589844,38.1534538269043,33.984519958496094,110.68460845947266,16.081893920898438,3.591850519180298,8.799898147583008,6.460097789764404,3.722564935684204,2.5142436027526855
51,50,Bb7,Bb,98.0,361.0256042480469,500.5722961425781,2316.39892578125,1714.4407958984375,926.6651000976562,3257.183349609375,1949.71044921875,485.3605041503906,1414.7960205078125,1009.4603881835938,2195.370849609375,971.8516235351562
52,51,Eb7,Eb,100.0,371.5404357910156,1962.2080078125,1037.2000732421875,3161.171630859375,641.8593139648438,273.3718566894531,326.1100158691406,1519.0147705078125,354.6904296875,356.8621826171875,1913.47021484375,465.7967529296875
53,52,Bb7,Bb,102.0,224.6754913330078,445.1748352050781,2074.549560546875,572.9666137695312,707.4928588867188,2999.90625,765.447509765625,299.93182373046875,1401.0716552734375,890.996337890625,1868.6092529296875,348.8655700683594
54,53,Bb7,Bb,104.0,227.43841552734375,425.8009338378906,1968.50927734375,505.9686279296875,618.3142700195312,2919.3701171875,770.0252075195312,288.1287536621094,1421.2176513671875,882.33642578125,1933.8385009765625,351.0426940917969
55,54,Eb7,Eb,106.0,359.2503662109375,1906.8167724609375,1016.8700561523438,3097.48046875,629.9297485351562,265.55828857421875,285.4047546386719,1519.2490234375,352.3893127441406,354.3916931152344,1923.46240234375,442.8056640625
56,55,Eb7,Eb,108.0,363.0229797363281,1928.4088134765625,997.4765014648438,3033.40234375,608.2354736328125,229.8306121826172,285.1249694824219,1549.87060546875,340.7336730957031,351.9611511230469,1922.1158447265625,437.5801086425781
57,56,Bb7,Bb,110.0,221.94586181640625,440.0990905761719,2055.828857421875,563.2278442382812,686.0131225585938,2966.3427734375,752.83349609375,296.30242919921875,1400.2911376953125,866.071533203125,1864.02001953125,339.70208740234375
58,57,Dmin7,D,112.0,543.3095703125,235.55908203125,547.1812133789062,152.81455993652344,271.2115173339844,1096.0858154296875,281.4792785644531,66.56639099121094,87.9566650390625,421.2559814453125,90.46778106689453,99.21793365478516
59,57,G7,G,113.0,194.1332550048828,133.80848693847656,405.2062683105469,220.02427673339844,260.0010070800781,1036.3702392578125,432.4864807128906,469.912353515625,129.2725830078125,138.39837646484375,151.43067932128906,557.1571655273438
60,58,Cmin7,C,114.0,1552.94384765625,415.4400329589844,1056.6063232421875,3243.469970703125,1125.3070068359375,953.4024047851562,409.5841979980469,1570.2674560546875,326.66705322265625,388.32373046875,1986.7252197265625,922.43994140625
61,59,F7,F,116.0,2002.9954833984375,461.37744140625,746.569091796875,3267.496826171875,1713.53759765625,1510.6583251953125,322.3085021972656,396.7592468261719,519.0701293945312,1651.37890625,418.3727722167969,505.0182800292969
62,60,Bb7,Bb,118.0,239.1543731689453,426.1656799316406,2032.7718505859375,569.2235717773438,708.9340209960938,3096.244873046875,766.4221801757812,286.4184875488281,1399.6146240234375,894.5217895507812,1948.5318603515625,363.374267578125
63,61,Cmin7,C,120.0,490.9359436035156,137.8055419921875,285.01104736328125,968.6085815429688,314.4232177734375,85.07540893554688,92.23455810546875,434.9280090332031,102.17254638671875,116.64730834960938,562.6068115234375,233.6818084716797
64,61,F7,F,121.0,3804.597412109375,849.7505493164062,1437.99560546875,6742.12548828125,3251.396240234375,2961.1640625,613.2755737304688,932.0007934570312,929.1126098632812,2946.235107421875,917.08984375,880.5439453125
