,Measure,Driftin',chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
27,19,Eb7,Eb,36.0,897.93115234375,2041.197265625,1086.2037353515625,3334.853271484375,733.1002807617188,288.35980224609375,313.9890441894531,1790.7554931640625,422.0586242675781,354.8710021972656,1914.46337890625,543.6456298828125
28,20,Eb7,Eb,38.0,154.3806915283203,146.94979858398438,395.836669921875,482.6514892578125,297.2001037597656,1110.5311279296875,483.0469055175781,574.397216796875,127.8004150390625,94.08611297607422,161.5907440185547,556.4539184570312
29,20,G7,G,39.0,256.07049560546875,116.28899383544922,147.66368103027344,503.5792236328125,144.25672912597656,288.6473083496094,532.4907836914062,184.7606201171875,121.11752319335938,33.65897750854492,54.91233825683594,125.2096176147461
30,21,Ab7,Ab,40.0,78.59595489501953,101.30953979492188,121.39974975585938,102.9701919555664,92.59931182861328,385.7279357910156,121.66329956054688,163.6268310546875,37.64223861694336,48.18326187133789,153.2621307373047,179.45684814453125
31,21,G7,G,41.0,223.12828063964844,88.72857666015625,283.5025329589844,426.5305480957031,100.1133804321289,94.6379623413086,75.53922271728516,178.1736297607422,39.37572479248047,112.05985260009766,162.61380004882812,95.3870620727539
32,22,Cmin7,C,42.0,81.6825180053711,190.2305908203125,58.8685302734375,110.89618682861328,89.94696807861328,360.42919921875,87.40594482421875,57.742919921875,124.95040130615234,83.64170837402344,247.53916931152344,71.32234191894531
33,22,Bbmin7,Bb,43.0,274.9330139160156,84.71488189697266,104.91570281982422,390.6467590332031,173.5930938720703,214.62945556640625,54.331851959228516,27.453170776367188,33.802215576171875,81.8727035522461,29.35625648498535,55.70668029785156
34,23,F7,F,44.0,330.6759948730469,526.0548706054688,175.82005310058594,220.48956298828125,248.05792236328125,1026.0802001953125,233.4282989501953,245.6285858154297,1410.591796875,265.30517578125,106.75785064697266,502.5187072753906
35,23,Db7,Db,45.0,91.4717788696289,180.12701416015625,355.6609802246094,124.770751953125,197.3039093017578,845.8811645507812,378.6724853515625,473.0812072753906,168.58035278320312,397.5894775390625,1661.4033203125,311.6625671386719
36,24,Gmin7,G,46.0,213.37164306640625,157.07835388183594,252.25579833984375,241.73423767089844,482.0899963378906,828.4492797851562,354.3935852050781,283.47998046875,390.54345703125,228.11058044433594,249.44598388671875,126.3853759765625
37,25,C7,C,48.0,351.1274108886719,387.4028625488281,183.2433319091797,357.9578552246094,368.7184753417969,227.40647888183594,60.37379837036133,127.41897583007812,178.9685516357422,53.17470169067383,55.50251770019531,89.73677825927734
38,26,Fmin7,F,50.0,71.98838806152344,54.932559967041016,253.7828369140625,172.68048095703125,112.37835693359375,382.3041687011719,115.9781723022461,303.6901550292969,1279.3873291015625,257.5682067871094,128.4699249267578,47.70634841918945
39,26,Bb7,Bb,51.0,44.439579010009766,201.16542053222656,135.35372924804688,396.449462890625,83.82743072509766,95.50299835205078,59.71738052368164,241.13720703125,51.9783821105957,33.40501022338867,151.2653045654297,30.8471736907959
40,27,Eb7,Eb,52.0,19.936521530151367,51.066375732421875,224.56939697265625,114.09130859375,80.86030578613281,342.2697448730469,86.42549896240234,50.6038932800293,96.24752807617188,76.74325561523438,131.7687530517578,30.11406135559082
41,27,Bb7,Bb,53.0,37.0798454284668,196.8206329345703,138.5735626220703,374.0124816894531,73.5909194946289,83.95258331298828,68.7583999633789,328.7230224609375,65.2682113647461,32.195655822753906,147.8690948486328,29.97368621826172
42,28,Eb7,Eb,54.0,212.82444763183594,44.02476501464844,27.45073127746582,128.86334228515625,412.8891296386719,99.33940887451172,43.65461349487305,213.62010192871094,55.346858978271484,25.898597717285156,133.46180725097656,63.78740310668945
43,28,C7,C,55.0,480.6946105957031,93.27664184570312,85.74310302734375,355.6417236328125,177.1983642578125,157.31617736816406,39.74806594848633,139.2193145751953,97.65254974365234,25.887468338012695,26.45207405090332,85.6120376586914
44,29,Fmin7,F,56.0,112.89749908447266,87.69759368896484,362.2889709472656,272.3146057128906,219.02899169921875,630.6458129882812,166.68040466308594,316.5766296386719,1470.111328125,329.95977783203125,355.0558166503906,120.29854583740234
45,29,Bb7,Bb,57.0,40.57380676269531,187.447998046875,134.0520782470703,385.4486083984375,93.24539947509766,144.29783630371094,66.27751922607422,258.9489440917969,50.8164176940918,30.29032325744629,142.36427307128906,30.423545837402344
46,30,Eb7,Eb,58.0,227.2052001953125,43.82366943359375,27.2885684967041,129.47850036621094,411.6835632324219,82.83448028564453,41.61219787597656,203.89027404785156,54.36208724975586,26.725542068481445,135.0393524169922,66.6108169555664
47,30,C7,C,59.0,481.6969909667969,97.70992279052734,98.25347900390625,365.4469909667969,184.4905548095703,162.41307067871094,39.51224136352539,136.19442749023438,95.9207763671875,26.160924911499023,25.028913497924805,84.60335540771484
48,31,Fmin7,F,60.0,112.9158935546875,89.8983383178711,366.5910949707031,273.9270324707031,221.50872802734375,637.859375,160.9369354248047,227.7879180908203,1461.92626953125,332.9436340332031,361.1483459472656,120.02539825439453
49,31,Bb7,Bb,61.0,208.5237579345703,51.64324951171875,109.45552825927734,357.6927795410156,105.19293212890625,204.7825469970703,399.7604675292969,110.66771697998047,107.45844268798828,20.744667053222656,20.537914276123047,40.8791389465332
50,32,Ab7,Ab,62.0,58.518184661865234,183.75572204589844,113.52637481689453,391.4449157714844,94.29061889648438,58.78117370605469,81.7026596069336,359.7568664550781,57.743412017822266,26.74452781677246,142.96548461914062,34.501373291015625
51,32,Eb7,Eb,63.0,58.26456832885742,63.196964263916016,97.21981811523438,328.6542663574219,90.40380859375,99.87071990966797,86.7523193359375,47.54973220825195,11.583087921142578,10.543726921081543,38.820796966552734,15.200435638427734
